 GPRMC,utc时间:01时34分05秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分05秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分06秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分06秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分07秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分07秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分08秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分08秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分09秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分09秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分10秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分10秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分11秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分11秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分12秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分12秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分13秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分13秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分14秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分14秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分15秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分15秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分16秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分16秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分17秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分17秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分18秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分18秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分19秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分19秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分20秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分20秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分21秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分21秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分22秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分22秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分23秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分23秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1058

 GPRMC,utc时间:01时34分24秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分24秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分25秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分25秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分26秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分26秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分27秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分27秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分28秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分28秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分29秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分29秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分30秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分30秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分31秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分31秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分32秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分32秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

